"Date","Prompt","Times","Last","Response"
"5/11/2023 10:32:28 AM","What was the best part of my day?","1","5/11/2023 10:32:28 AM","one"
"5/11/2023 10:56:31 AM","How did I see the hand of the Lord in my life today?","1","5/11/2023 10:56:31 AM","two"
"5/11/2023 11:17:16 AM","If I had one thing I could do over today, what would it be?","1","5/11/2023 11:17:16 AM","three"
"5/11/2023 11:18:22 AM","What happened today that you didn't like and how could you manage it better?","1","5/11/2023 11:18:22 AM","four"
"5/11/2023 11:19:13 AM","What would you like to write in your journal?","3","5/11/2023 6:01:40 PM","five"
"5/11/2023 4:37:53 PM","Who was the most interesting person I interacted with today?","2","5/12/2023 4:20:27 PM","six"
"5/11/2023 5:52:01 PM","What did you learn today?","1","5/11/2023 5:52:01 PM","seven"
"5/11/2023 5:52:57 PM","What did you do today, that was enjoyable?","1","5/11/2023 5:52:57 PM","eight"
"5/11/2023 5:53:51 PM","What did you do today to serve someone?","1","5/11/2023 5:53:51 PM","nine"
"5/11/2023 5:54:58 PM","What did you ponder over in your scriptures today?","1","5/11/2023 5:54:58 PM","ten"
"5/11/2023 5:55:49 PM","What outside event did you witness or ponder today?","1","5/11/2023 5:55:49 PM","eleven"
"5/11/2023 5:56:50 PM","What did you improve in your life today?","1","5/11/2023 5:56:50 PM","twelve"
"5/11/2023 5:57:57 PM","How were you helped today and by who?","1","5/11/2023 5:57:57 PM","thirteen"
"5/11/2023 5:59:11 PM","What Christ-like attribute did you emulate today and how?","1","5/11/2023 5:59:11 PM","fourteen"
"5/11/2023 5:59:59 PM","What was the strongest emotion I felt today?","1","5/11/2023 5:59:59 PM","fifteen"
"5/11/2023 6:00:46 PM","What would you like to write in your journal?","3","5/11/2023 6:01:40 PM","sixteen"
"5/11/2023 6:01:40 PM","What would you like to write in your journal?","3","5/11/2023 6:01:40 PM","seventeen"
"5/12/2023 4:20:27 PM","Who was the most interesting person I interacted with today?","2","5/12/2023 4:20:27 PM","eightteen"
